Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,774,25.808752,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,838,27.941778,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,902,30.085523,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),923,30.776035,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),943,31.442695,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,963,32.109353,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),984,32.809344,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,992,33.076006,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),1013,33.775999,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),1028,34.275993,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,1037,34.57599,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,1042,34.742654,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,1043,34.799999,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),1044,34.833332,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),1045,34.866665,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),1083,36.11392,""
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,2473,82.455946,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,2504,83.48877,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,2562,85.42197,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),2579,85.980661,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),2603,86.780653,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,2622,87.41398,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),2640,88.013974,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,2655,88.533332,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),2675,89.199992,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),2691,89.709946,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,2702,90.076609,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,2707,90.243273,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),2708,90.276606,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),2711,90.376604,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),2740,91.340413,""
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,3624,120.811837,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,3680,122.692827,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,3757,125.234743,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),3787,126.242782,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),3803,126.790422,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,3816,127.223751,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),3834,127.823745,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,3852,128.423735,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),3871,129.057062,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),3886,129.557054,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,3899,129.990382,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,3903,130.123709,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),3904,130.157041,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),3906,130.223706,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),3938,131.277348,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,7443,248.133331,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),7444,248.166664,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),7445,248.199997,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),7488,249.610694,""
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,8319,277.326814,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,8379,279.329902,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,8442,281.424384,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),8459,281.991045,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),8493,283.124367,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,8502,283.424364,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),8521,284.057691,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,8540,284.691016,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),8558,285.29101,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),8575,285.85767,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,8588,286.290999,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,8591,286.390997,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),8592,286.42433,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),8593,286.457663,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),8625,287.50955,""
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,9457,315.240506,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,9495,316.510386,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,9562,318.742047,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),9578,319.275375,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),9613,320.44203,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,9624,320.808693,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),9644,321.475353,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,9666,322.208679,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),9687,322.908671,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),9709,323.641995,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,9721,324.041991,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,9723,324.108656,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),9724,324.141989,""
260121_發球_06_01_LF_240.mov,260121,LF,球離手(瞬間),9726,324.208654,""
260121_發球_06_01_LF_240.mov,260121,LF,落地(腳著地瞬間),9760,325.358223,""
260121_發球_06_01_LF_240.mov,260121,LF,站定準備,10532,351.082129,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,10585,352.839879,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,10648,354.945182,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球位於最低點),10667,355.578509,""
260121_發球_06_01_LF_240.mov,260121,LF,拋球(球離手),10697,356.578497,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,10708,356.94516,""
260121_發球_06_01_LF_240.mov,260121,LF,蹲下(最低點),10725,357.511821,""
260121_發球_06_01_LF_240.mov,260121,LF,步伐腳跟著地,10743,358.111809,""
260121_發球_06_01_LF_240.mov,260121,LF,起跳(雙腳離地),10763,358.778468,""
260121_發球_06_01_LF_240.mov,260121,LF,躬身(拉到角度最大時),10784,359.478457,""
260121_發球_06_01_LF_240.mov,260121,LF,手肘到前,10797,359.911786,""
260121_發球_06_01_LF_240.mov,260121,LF,抬擊球手前1幀,10800,360.011784,""
260121_發球_06_01_LF_240.mov,260121,LF,擊球(瞬間),10801,360.045117,""
