Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_07_01_RF_240_2.mov,260113,RF,站定準備,1498,49.950162,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1649,54.989733,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),1683,56.129817,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球離手),1721,57.380772,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1752,58.423739,""
260113_發球_07_01_RF_240_2.mov,260113,RF,蹲下(最低點),1790,59.686059,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,1806,60.229088,""
260113_發球_07_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),1851,61.712085,""
260113_發球_07_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,1851,61.703333,""
260113_發球_07_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),1851,61.703333,""
260113_發球_07_01_RF_240_2.mov,260113,RF,手肘到前,1859,61.988046,""
260113_發球_07_01_RF_240_2.mov,260113,RF,擊球(瞬間),1859,61.988046,""
260113_發球_07_01_RF_240_2.mov,260113,RF,球離手(瞬間),1872,62.425537,""
260113_發球_07_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),1895,63.175872,""
260113_發球_07_01_RF_240_2.mov,260113,RF,站定準備,3472,115.748081,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3607,120.242493,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),3649,121.64522,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球離手),3685,122.841888,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3719,123.976354,""
260113_發球_07_01_RF_240_2.mov,260113,RF,蹲下(最低點),3753,125.10016,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,3778,125.950356,""
260113_發球_07_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),3809,126.978258,""
260113_發球_07_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,3812,127.088357,""
260113_發球_07_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),3812,127.088357,""
260113_發球_07_01_RF_240_2.mov,260113,RF,手肘到前,3812,127.088357,""
260113_發球_07_01_RF_240_2.mov,260113,RF,擊球(瞬間),3847,128.24463,""
260113_發球_07_01_RF_240_2.mov,260113,RF,球離手(瞬間),3871,129.04962,""
260113_發球_07_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),3885,129.520086,""
260113_發球_07_01_RF_240_2.mov,260113,RF,站定準備,5449,181.642556,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5664,188.821167,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),5704,190.162479,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球離手),5728,190.964507,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5766,192.205598,""
260113_發球_07_01_RF_240_2.mov,260113,RF,蹲下(最低點),5809,193.642429,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,5814,193.818995,""
260113_發球_07_01_RF_240_2.mov,260113,RF,起跳(雙腳離地),5854,195.146808,""
260113_發球_07_01_RF_240_2.mov,260113,RF,抬擊球手前1幀,5855,195.18258,""
260113_發球_07_01_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),5855,195.18258,""
260113_發球_07_01_RF_240_2.mov,260113,RF,手肘到前,5867,195.574031,""
260113_發球_07_01_RF_240_2.mov,260113,RF,擊球(瞬間),5888,196.292097,""
260113_發球_07_01_RF_240_2.mov,260113,RF,球離手(瞬間),5913,197.116348,""
260113_發球_07_01_RF_240_2.mov,260113,RF,落地(腳著地瞬間),5928,197.622797,""
260113_發球_07_01_RF_240_2.mov,260113,RF,站定準備,7422,247.407691,""
260113_發球_07_01_RF_240_2.mov,260113,RF,步伐腳跟著地,7586,252.870814,""
260113_發球_07_01_RF_240_2.mov,260113,RF,拋球(球位於最低點),7614,253.822409,""
