Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,559,18.634623,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,607,20.240375,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,738,24.626295,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,799,26.634282,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),861,28.716723,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),906,30.20825,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),950,31.68397,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),1000,33.347755,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,1568,52.278289,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,1716,57.206778,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,1840,61.350019,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,1902,63.401677,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),1941,64.733042,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),1941,64.703333,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),1948,64.962002,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),1966,65.55728,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,2214,73.807372,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2272,75.733518,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2340,78.017881,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2369,78.978911,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),2405,80.184425,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),2430,81.001297,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),2453,81.780616,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),2478,82.620811,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,2767,92.240857,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2867,95.599652,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2910,97.008323,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,2935,97.861555,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),2958,98.630088,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),2993,99.786842,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),3013,100.453479,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),3037,101.259059,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,3322,110.766218,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,3375,112.501106,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,3427,114.233978,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,3457,115.245383,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),3486,116.222361,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),3519,117.325018,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),3540,118.027118,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),3561,118.723268,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,3885,129.51772,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,3973,132.464111,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,4032,134.419516,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,4052,135.076253,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),4079,135.992405,""
260113_舉球_07_02_L_240_2.mov,260113,L,蹲下(位於最低點),4104,136.827394,""
260113_舉球_07_02_L_240_2.mov,260113,L,手觸球(瞬間),4142,138.074888,""
260113_舉球_07_02_L_240_2.mov,260113,L,球離手(瞬間),4159,138.644544,""
260113_舉球_07_02_L_240_2.mov,260113,L,站定準備,4452,148.4226,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,4524,150.830416,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,4594,153.146009,""
260113_舉球_07_02_L_240_2.mov,260113,L,步伐腳跟著地,4623,154.125236,""
260113_舉球_07_02_L_240_2.mov,260113,L,卡位(完成轉身等待接球),4660,155.336519,""
