Video,Date,View,Action,Frame,Time_Sec,Faults
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,917,30.574791,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,1875,62.514658,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,2365,78.836448,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,2853,95.106903,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,3340,111.356659,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,3897,129.900957,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,4362,145.430614,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,4867,162.23767,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,5362,178.734803,""
10_追加/260113_舉球_10_02_L_240_2.mov,260113,L,站定準備,6737,224.580385,""
