Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,184,6.147925,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,298,9.95271,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,419,13.982008,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,541,18.066552,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,663,22.105472,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,796,26.541187,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,927,30.916244,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,1049,34.994075,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,1203,40.105221,""
260121_舉球_11_03_X_30.mp4,260121,X,站定準備,1342,44.738695,""
