Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,1421,47.395416,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,1941,64.707062,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),1989,66.320448,"卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,1995,66.505691,""
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),2068,68.942193,"下蹲不足"
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),2111,70.39238,""
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),2119,70.650889,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,2502,83.424151,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,2694,89.803809,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,2762,92.092026,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),2824,94.135623,"卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),2853,95.103322,""
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),2929,97.63663,""
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),2945,98.169958,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,3330,111.016455,"站位偏移"
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,3534,117.823265,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,3611,120.374707,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),3681,122.731525,"雙腳間距太小;卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),3766,125.559064,""
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),3831,127.725709,""
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),3850,128.359036,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,4294,143.157503,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,4424,147.470701,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,4509,150.325978,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),4580,152.687689,"卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),4780,159.354402,"卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),4796,159.888784,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,5297,176.590251,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,5488,182.942731,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,5558,185.299701,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),5604,186.807417,"雙腳間距太小;卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),5609,186.974082,""
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),5687,189.574967,""
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),5702,190.074962,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,6124,204.156305,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,6318,210.600629,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,6392,213.079109,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),6557,218.594347,"卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),6559,218.653187,"下蹲不足"
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),6660,222.010775,""
260113_舉球_12_01_R_240_2.mov,260113,R,球離手(瞬間),6677,222.577435,""
260113_舉球_12_01_R_240_2.mov,260113,R,站定準備,7143,238.119913,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,7360,245.350288,""
260113_舉球_12_01_R_240_2.mov,260113,R,步伐腳跟著地,7466,248.889508,""
260113_舉球_12_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),7532,251.099146,"雙腳間距太小;卡位未轉正;卡位移動補償"
260113_舉球_12_01_R_240_2.mov,260113,R,蹲下(位於最低點),7575,252.532465,""
260113_舉球_12_01_R_240_2.mov,260113,R,手觸球(瞬間),7641,254.723956,""
