Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,105,3.53189,""
260121_發球_01_02_Y_30.mp4,260121,Y,步伐腳跟著地,169,5.661646,""
260121_發球_01_02_Y_30.mp4,260121,Y,拋球(球位於最低點),173,5.794976,""
260121_發球_01_02_Y_30.mp4,260121,Y,步伐腳跟著地,179,5.994974,""
260121_發球_01_02_Y_30.mp4,260121,Y,拋球(球離手),183,6.128306,""
260121_發球_01_02_Y_30.mp4,260121,Y,步伐腳跟著地,189,6.328294,""
260121_發球_01_02_Y_30.mp4,260121,Y,蹲下(最低點),193,6.461626,""
260121_發球_01_02_Y_30.mp4,260121,Y,步伐腳跟著地,195,6.528292,""
260121_發球_01_02_Y_30.mp4,260121,Y,起跳(雙腳離地),201,6.728289,""
260121_發球_01_02_Y_30.mp4,260121,Y,躬身(拉到角度最大時),205,6.866664,""
260121_發球_01_02_Y_30.mp4,260121,Y,手肘到前,208,6.966663,""
260121_發球_01_02_Y_30.mp4,260121,Y,抬擊球手前1幀,209,6.999995,""
260121_發球_01_02_Y_30.mp4,260121,Y,擊球(瞬間),210,7.033329,""
260121_發球_01_02_Y_30.mp4,260121,Y,球離手(瞬間),211,7.066661,""
260121_發球_01_02_Y_30.mp4,260121,Y,落地(腳著地瞬間),212,7.099994,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,414,13.833326,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,669,22.332364,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,931,31.054312,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,1194,39.819186,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,1433,47.779317,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,1671,55.703222,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,1919,63.996432,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,2155,71.847803,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,2384,79.479806,""
260121_發球_01_02_Y_30.mp4,260121,Y,站定準備,2720,90.668257,""
