Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_01_02_R_240.mov,260121,R,站定準備,196,6.544133,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,707,23.599267,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,1196,39.866793,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,1701,56.718631,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,2167,72.259143,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,2682,89.401016,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,3187,106.242655,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,3693,123.111054,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,4206,140.20339,""
260121_舉球_01_02_R_240.mov,260121,R,站定準備,4754,158.489249,""
