Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,170,5.679339,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,446,14.8692,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,704,23.482486,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,941,31.399518,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,1212,40.40976,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,1616,53.874629,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,1857,61.92113,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,2117,70.592675,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,2378,79.270187,""
260121_發球_03_04_X2_30.mp4,260121,X2,站定準備,2636,87.889696,""
