Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_07_01_LF_240_2.mov,260113,LF,站定準備,595,19.838631,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,1278,42.606225,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,1365,45.516092,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),1378,45.952131,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球離手),1430,47.696261,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,1436,47.871297,""
260113_發球_07_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,1502,50.070045,""
260113_發球_07_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),1518,50.63133,""
260113_發球_07_01_LF_240_2.mov,260113,LF,蹲下(最低點),1539,51.303767,""
260113_發球_07_01_LF_240_2.mov,260113,LF,手肘到前,1562,52.098279,""
260113_發球_07_01_LF_240_2.mov,260113,LF,擊球(瞬間),1572,52.429337,""
260113_發球_07_01_LF_240_2.mov,260113,LF,球離手(瞬間),1572,52.429337,""
260113_發球_07_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),1578,52.602447,""
260113_發球_07_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),1594,53.148097,""
260113_發球_07_01_LF_240_2.mov,260113,LF,站定準備,3154,105.135139,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,3305,110.174629,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),3325,110.854239,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球離手),3339,111.303495,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,3342,111.416388,""
260113_發球_07_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,3354,111.828835,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,3370,112.340046,""
260113_發球_07_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),3386,112.890155,""
260113_發球_07_01_LF_240_2.mov,260113,LF,手肘到前,3404,113.495949,""
260113_發球_07_01_LF_240_2.mov,260113,LF,擊球(瞬間),3404,113.495949,""
260113_發球_07_01_LF_240_2.mov,260113,LF,球離手(瞬間),3417,113.910099,""
260113_發球_07_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),3431,114.384661,""
260113_發球_07_01_LF_240_2.mov,260113,LF,站定準備,4201,140.049637,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4314,143.813558,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球位於最低點),4325,144.187914,""
260113_發球_07_01_LF_240_2.mov,260113,LF,拋球(球離手),4341,144.730267,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4362,145.403389,""
260113_發球_07_01_LF_240_2.mov,260113,LF,蹲下(最低點),4374,145.823875,""
260113_發球_07_01_LF_240_2.mov,260113,LF,步伐腳跟著地,4393,146.436208,""
260113_發球_07_01_LF_240_2.mov,260113,LF,起跳(雙腳離地),4396,146.547968,""
260113_發球_07_01_LF_240_2.mov,260113,LF,抬擊球手前1幀,4411,147.052614,""
260113_發球_07_01_LF_240_2.mov,260113,LF,躬身(拉到角度最大時),4411,147.052614,""
260113_發球_07_01_LF_240_2.mov,260113,LF,擊球(瞬間),4423,147.447191,""
260113_發球_07_01_LF_240_2.mov,260113,LF,手肘到前,4430,147.666684,""
260113_發球_07_01_LF_240_2.mov,260113,LF,球離手(瞬間),4452,148.426924,""
260113_發球_07_01_LF_240_2.mov,260113,LF,落地(腳著地瞬間),4468,148.947792,""
