Video,Date,View,Action,Frame,Time_Sec,Faults
260121_發球_07_01_X_30.mp4,260121,X,站定準備,143,4.79963,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,437,14.59073,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,684,22.802412,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,893,29.791505,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,1112,37.081027,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,1328,44.271332,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,1539,51.31144,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,1767,58.911605,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,1978,65.95181,""
260121_發球_07_01_X_30.mp4,260121,X,站定準備,2197,73.251785,""
