Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,68,2.271347,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,219,7.317007,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,232,7.74911,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,243,8.121048,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),249,8.321624,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),260,8.680526,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),266,8.874182,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),277,9.25419,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,335,11.170069,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,357,11.930074,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,369,12.310109,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,377,12.582142,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),383,12.777967,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),391,13.059228,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),397,13.260031,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),402,13.419767,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,464,15.493842,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,483,16.111943,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,495,16.511836,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,504,16.807859,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),513,17.116772,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),519,17.332365,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),530,17.675508,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),533,17.790818,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,595,19.866183,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,608,20.268186,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,623,20.77023,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,629,20.988245,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),637,21.23459,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),648,21.600143,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),654,21.830995,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),660,22.017015,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,732,24.429909,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,739,24.653289,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,752,25.079316,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,758,25.299359,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),774,25.827874,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),775,25.854705,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),786,26.205284,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),792,26.405187,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,866,28.879327,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,876,29.217439,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,884,29.499224,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,891,29.705266,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),901,30.055133,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),910,30.343359,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),917,30.585742,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),923,30.787682,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,985,32.85371,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,997,33.247831,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1010,33.693732,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1024,34.151779,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1035,34.503767,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1045,34.835754,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),1052,35.093479,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),1057,35.263496,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,1132,37.735481,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1145,38.199012,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1159,38.657022,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1168,38.946998,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1180,39.355527,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1191,39.718034,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),1195,39.862943,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),1202,40.068891,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,1252,41.753124,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1269,42.327218,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1282,42.751159,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1293,43.105177,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1300,43.342749,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1312,43.744159,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),1319,43.992728,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),1324,44.159181,""
260121_舉球_07_01_X2_30.mp4,260121,X2,站定準備,1382,46.074817,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1397,46.56679,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1410,47.028813,""
260121_舉球_07_01_X2_30.mp4,260121,X2,步伐腳跟著地,1422,47.418785,""
260121_舉球_07_01_X2_30.mp4,260121,X2,卡位(完成轉身等待接球),1432,47.752313,""
260121_舉球_07_01_X2_30.mp4,260121,X2,蹲下(位於最低點),1441,48.06198,""
260121_舉球_07_01_X2_30.mp4,260121,X2,手觸球(瞬間),1448,48.294524,""
260121_舉球_07_01_X2_30.mp4,260121,X2,球離手(瞬間),1453,48.454538,""
