Video,Date,View,Action,Frame,Time_Sec,Faults
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,916,30.541311,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,2002,66.740819,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,2985,99.514743,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,4135,137.84257,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,5048,168.280426,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,6028,200.957237,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,7027,234.248319,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,8047,268.236394,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,9163,305.446886,""
08_追加/260113_舉球_08_01_R_240.mov,260113,R,站定準備,10174,339.147247,""
