Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_08_01_L_240.mov,260121,L,站定準備,672,22.426146,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,832,27.745863,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,873,29.104711,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,897,29.913773,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),907,30.266657,""
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),913,30.466661,"卡位移動補償"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),925,30.866664,""
260121_舉球_08_01_L_240.mov,260121,L,球離手(瞬間),930,31.029906,""
260121_舉球_08_01_L_240.mov,260121,L,站定準備,1228,40.946228,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1368,45.615953,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1430,47.679169,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1452,48.416393,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),1461,48.705813,"雙腳間距太小"
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),1468,48.939144,"卡位移動補償"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),1486,49.539168,""
260121_舉球_08_01_L_240.mov,260121,L,球離手(瞬間),1491,49.705833,""
260121_舉球_08_01_L_240.mov,260121,L,站定準備,1812,60.422769,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1881,62.730384,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1928,64.276451,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,1986,66.221457,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),2015,67.188126,"雙腳間距太小"
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),2017,67.254791,"卡位未轉正;卡位移動補償"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),2029,67.654787,""
260121_舉球_08_01_L_240.mov,260121,L,球離手(瞬間),2035,67.854785,""
260121_舉球_08_01_L_240.mov,260121,L,站定準備,2401,80.038045,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,2466,82.205875,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,2535,84.518255,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,2576,85.87188,""
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),2604,86.833328,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,2609,86.971676,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),2613,87.133331,"卡位移動補償"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),2637,87.918627,""
260121_舉球_08_01_L_240.mov,260121,L,球離手(瞬間),2643,88.118625,""
260121_舉球_08_01_L_240.mov,260121,L,站定準備,2941,98.063821,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,2999,99.993275,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3050,101.671673,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3087,102.921368,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3109,103.643905,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),3109,103.666648,"雙腳間距太小"
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),3115,103.866646,"卡位未在額頭前70~90度間;卡位未轉正"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),3130,104.346151,""
260121_舉球_08_01_L_240.mov,260121,L,球離手(瞬間),3136,104.546149,""
260121_舉球_08_01_L_240.mov,260121,L,站定準備,3448,114.941876,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3478,115.949521,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3540,118.008126,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3586,119.552044,""
260121_舉球_08_01_L_240.mov,260121,L,步伐腳跟著地,3622,120.751412,"腳跟未觸地"
260121_舉球_08_01_L_240.mov,260121,L,蹲下(位於最低點),3626,120.884763,""
260121_舉球_08_01_L_240.mov,260121,L,卡位(完成轉身等待接球),3641,121.380788,"卡位未轉正"
260121_舉球_08_01_L_240.mov,260121,L,手觸球(瞬間),3655,121.8525,""
