Video,Date,View,Action,Frame,Time_Sec,Faults
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,站定準備,4137,137.911216,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,4371,145.730704,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,4501,150.045801,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,拋球(球位於最低點),4516,150.535326,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,拋球(球離手),4595,153.190097,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,4624,154.162364,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,抬擊球手前1幀,4644,154.801149,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,蹲下(最低點),4648,154.934481,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,4673,155.767806,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,起跳(雙腳離地),4708,156.958351,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),4736,157.875399,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,手肘到前,4756,158.552243,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,擊球(瞬間),4761,158.718908,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,球離手(瞬間),4763,158.785574,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,落地(腳著地瞬間),4816,160.540898,"單腳落地"
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,站定準備,6135,204.515568,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,6312,210.422626,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,6458,215.270878,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,拋球(球位於最低點),6458,215.290878,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,拋球(球離手),6538,217.953912,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,6572,219.087234,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,抬擊球手前1幀,6589,219.653891,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,蹲下(最低點),6596,219.887222,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,步伐腳跟著地,6617,220.587215,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,起跳(雙腳離地),6654,221.832332,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,躬身(拉到角度最大時),6655,221.852332,"輔手未抬"
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,手肘到前,6711,223.725798,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,擊球(瞬間),6716,223.892461,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,球離手(瞬間),6718,223.959125,""
09_追加/260113_發球_09_02_RF_240_2.mov,260113,RF,落地(腳著地瞬間),6766,225.53735,"單腳落地"
