Video,Date,View,Action,Frame,Time_Sec,Faults
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,站定準備,626,20.872435,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,875,29.194753,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,952,31.737031,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),994,33.136475,"卡位未轉正"
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,蹲下(位於最低點),1033,34.446413,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,手觸球(瞬間),1088,36.295748,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,球離手(瞬間),1100,36.695744,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,站定準備,1635,54.508222,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,1817,60.595937,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,1921,64.043036,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),1987,66.243174,"卡位未轉正"
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,蹲下(位於最低點),2038,67.960708,"雙腳間距太小"
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,手觸球(瞬間),2081,69.37456,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,球離手(瞬間),2096,69.874555,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,站定準備,2703,90.125984,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,2804,93.476127,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,2922,97.403633,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,步伐腳跟著地,3025,100.84971,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,卡位(完成轉身等待接球),3067,102.263562,"卡位未轉正"
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,蹲下(位於最低點),3097,103.261049,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,手觸球(瞬間),3140,104.667222,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,球離手(瞬間),3151,105.033885,""
09_追加/260113_舉球_09_01_R_240_2.mov,260113,R,站定準備,3809,126.987698,""
