video_name,camera_view,action,frame,time_sec,faults
260113_發球_01_01_LF_240_2.mov,LF,站定準備,1626,54.212071,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,1872,62.411942,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),1994,66.483686,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,2009,66.989948,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球離手),2064,68.816994,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,2114,70.483644,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,2143,71.436651,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,2148,71.616966,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),2148,71.603333,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),2158,71.93666,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),2200,73.336646,
260113_發球_01_01_LF_240_2.mov,LF,躬身(拉到角度最大時),2247,74.903297,
260113_發球_01_01_LF_240_2.mov,LF,手肘到前,2272,75.736658,
260113_發球_01_01_LF_240_2.mov,LF,擊球(瞬間),2287,76.236652,
260113_發球_01_01_LF_240_2.mov,LF,球離手(瞬間),2288,76.269985,
260113_發球_01_01_LF_240_2.mov,LF,落地(腳著地瞬間),2297,76.569982,
260113_發球_01_01_LF_240_2.mov,LF,站定準備,4086,136.220815,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,4247,141.594945,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,4299,143.309094,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),4302,143.425983,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球離手),4324,144.147562,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,4352,145.080886,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,4362,145.414216,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),4363,145.447543,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,4372,145.747538,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),4394,146.480864,
260113_發球_01_01_LF_240_2.mov,LF,躬身(拉到角度最大時),4412,147.080858,
260113_發球_01_01_LF_240_2.mov,LF,手肘到前,4426,147.54752,
260113_發球_01_01_LF_240_2.mov,LF,擊球(瞬間),4428,147.614186,
260113_發球_01_01_LF_240_2.mov,LF,球離手(瞬間),4431,147.714185,
260113_發球_01_01_LF_240_2.mov,LF,落地(腳著地瞬間),4440,148.014182,
260113_發球_01_01_LF_240_2.mov,LF,站定準備,5495,183.172173,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,5581,186.050725,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,5632,187.763085,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),5633,187.797953,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球離手),5657,188.597944,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,5683,189.436658,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,5692,189.753439,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),5695,189.853423,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,5704,190.153419,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),5727,190.920078,
260113_發球_01_01_LF_240_2.mov,LF,躬身(拉到角度最大時),5747,191.586738,
260113_發球_01_01_LF_240_2.mov,LF,手肘到前,5764,192.153395,
260113_發球_01_01_LF_240_2.mov,LF,擊球(瞬間),5766,192.220061,
260113_發球_01_01_LF_240_2.mov,LF,球離手(瞬間),5768,192.269999,
260113_發球_01_01_LF_240_2.mov,LF,落地(腳著地瞬間),5772,192.403331,
260113_發球_01_01_LF_240_2.mov,LF,站定準備,6718,223.958294,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,6780,226.024956,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,6840,228.027235,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),6840,228.003333,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),6863,228.7999,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,6890,229.67,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,6901,230.036635,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),6902,230.069968,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,6908,230.269982,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),6931,231.036625,
260113_發球_01_01_LF_240_2.mov,LF,躬身(拉到角度最大時),6951,231.703285,
260113_發球_01_01_LF_240_2.mov,LF,手肘到前,6965,232.169947,
260113_發球_01_01_LF_240_2.mov,LF,擊球(瞬間),6968,232.269946,
260113_發球_01_01_LF_240_2.mov,LF,球離手(瞬間),6970,232.336612,
260113_發球_01_01_LF_240_2.mov,LF,落地(腳著地瞬間),6976,232.53661,
260113_發球_01_01_LF_240_2.mov,LF,站定準備,7929,264.31967,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,8010,267.026392,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),8064,268.803327,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,8068,268.959434,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球離手),8092,269.736651,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,8118,270.603309,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),8132,271.069971,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,8132,271.069956,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,8142,271.403301,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),8165,272.169945,
260113_發球_01_01_LF_240_2.mov,LF,躬身(拉到角度最大時),8186,272.869938,
260113_發球_01_01_LF_240_2.mov,LF,手肘到前,8199,273.303266,
260113_發球_01_01_LF_240_2.mov,LF,擊球(瞬間),8200,273.336599,
260113_發球_01_01_LF_240_2.mov,LF,球離手(瞬間),8203,273.436598,
260113_發球_01_01_LF_240_2.mov,LF,落地(腳著地瞬間),8209,273.636596,
260113_發球_01_01_LF_240_2.mov,LF,站定準備,9165,305.526806,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,9280,309.353459,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,9338,311.271745,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球位於最低點),9338,311.271745,
260113_發球_01_01_LF_240_2.mov,LF,拋球(球離手),9369,312.305068,
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,9395,313.171726,
260113_發球_01_01_LF_240_2.mov,LF,抬擊球手前1幀,9407,313.571719,
260113_發球_01_01_LF_240_2.mov,LF,蹲下(最低點),9409,313.636657,下蹲不完整
260113_發球_01_01_LF_240_2.mov,LF,步伐腳跟著地,9418,313.936663,
260113_發球_01_01_LF_240_2.mov,LF,起跳(雙腳離地),9441,314.703313,
