video_name,camera_view,action,frame,time_sec,faults
260121_發球_01_01_LF_240.mov,LF,站定準備,596,19.876654,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,1044,34.808263,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),1090,36.336811,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,1091,36.370158,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),1112,37.070127,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,1143,38.10345,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,1149,38.303447,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),1157,38.570104,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,1159,38.636777,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),1181,39.370096,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),1191,39.703426,
260121_發球_01_01_LF_240.mov,LF,手肘到前,1207,40.236754,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),1212,40.403419,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),1216,40.536751,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),1233,41.103412,
260121_發球_01_01_LF_240.mov,LF,站定準備,2095,69.844166,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,2211,73.716565,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,2251,75.049885,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),2253,75.116551,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,2258,75.283211,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),2281,76.066666,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,2313,77.133322,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,2325,77.533327,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,2328,77.633317,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),2329,77.666666,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),2352,78.406615,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),2366,78.873277,
260121_發球_01_01_LF_240.mov,LF,手肘到前,2380,79.339939,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),2386,79.539937,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),2388,79.633332,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),2404,80.16666,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,3273,109.133323,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),3319,110.663373,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,3326,110.896792,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),3351,111.719822,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,3381,112.71981,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,3386,112.872689,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),3392,113.086473,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,3399,113.319801,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),3422,114.082826,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),3444,114.806706,
260121_發球_01_01_LF_240.mov,LF,手肘到前,3454,115.154929,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),3458,115.297966,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),3462,115.402073,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),3475,115.835402,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,4352,145.095136,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),4401,146.720043,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,4405,146.845903,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),4427,147.589073,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,4455,148.522397,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,4467,148.918864,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),4471,149.055725,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,4473,149.117406,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),4499,149.994239,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),4521,150.715192,
260121_發球_01_01_LF_240.mov,LF,手肘到前,4532,151.080605,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),4537,151.24727,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),4538,151.280603,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),4551,151.713932,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,5495,183.193187,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),5541,184.731525,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,5543,184.772204,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),5570,185.679302,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,5604,186.820762,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,5608,186.954093,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),5613,187.120757,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),5638,187.961024,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),5648,188.269122,
260121_發球_01_01_LF_240.mov,LF,手肘到前,5671,189.038891,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),5676,189.206005,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),5678,189.272671,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),5691,189.709615,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,6646,221.542754,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),6687,222.919847,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,6692,223.086512,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),6715,223.853171,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,6742,224.753162,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,6752,225.082075,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,6759,225.319979,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),6761,225.389451,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),6786,226.222776,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),6798,226.622772,
260121_發球_01_01_LF_240.mov,LF,手肘到前,6818,227.299993,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),6821,227.399998,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),6823,227.466664,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),6835,227.86666,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,7722,257.410834,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),7748,258.289056,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,7767,258.927759,
260121_發球_01_01_LF_240.mov,LF,拋球(球離手),7789,259.661577,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,7819,260.649221,
260121_發球_01_01_LF_240.mov,LF,抬擊球手前1幀,7829,260.985588,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,7835,261.182544,
260121_發球_01_01_LF_240.mov,LF,蹲下(最低點),7837,261.236474,
260121_發球_01_01_LF_240.mov,LF,起跳(雙腳離地),7860,262.003128,
260121_發球_01_01_LF_240.mov,LF,躬身(拉到角度最大時),7875,262.513979,
260121_發球_01_01_LF_240.mov,LF,手肘到前,7891,263.041074,
260121_發球_01_01_LF_240.mov,LF,擊球(瞬間),7894,263.141072,
260121_發球_01_01_LF_240.mov,LF,球離手(瞬間),7897,263.241068,
260121_發球_01_01_LF_240.mov,LF,落地(腳著地瞬間),7918,263.934465,
260121_發球_01_01_LF_240.mov,LF,步伐腳跟著地,8822,294.071166,
260121_發球_01_01_LF_240.mov,LF,拋球(球位於最低點),8862,295.401899,
