video_date,player_id,play_type,play_round,f_count
2026-01-13,02,發球,01,0
2026-01-13,02,發球,02,0
2026-01-13,02,舉球,01,1
2026-01-13,03,發球,01,1
2026-01-13,03,發球,02,0
2026-01-13,03,舉球,01,0
2026-01-13,04,發球,01,0
2026-01-13,04,發球,02,0
2026-01-13,05,發球,01,5
2026-01-13,05,發球,02,4
2026-01-13,06,發球,01,0
2026-01-13,06,發球,02,0
2026-01-13,06,舉球,01,0
2026-01-13,06,舉球,02,0
2026-01-13,07,發球,01,0
2026-01-13,07,發球,02,0
2026-01-13,07,發球,03,0
2026-01-13,07,舉球,01,0
2026-01-13,07,舉球,02,0
2026-01-13,08,發球,02,0
2026-01-13,09,發球,01,0
2026-01-13,09,發球,02,2
2026-01-13,10,發球,01,20
2026-01-13,10,發球,02,21
2026-01-13,10,發球,03,23
2026-01-13,12,發球,01,0
2026-01-13,12,發球,02,2
2026-01-13,12,舉球,01,31
2026-01-13,12,舉球,02,0
2026-01-13,13,舉球,01,0
2026-01-13,13,舉球,02,0
2026-01-21,01,發球,01,0
2026-01-21,01,發球,02,0
2026-01-21,01,發球,03,0
2026-01-21,02,發球,01,0
2026-01-21,02,發球,02,0
2026-01-21,02,發球,03,0
2026-01-21,02,發球,04,0
2026-01-21,02,舉球,01,5
2026-01-21,02,舉球,02,3
2026-01-21,02,舉球,03,2
2026-01-21,03,發球,01,0
2026-01-21,03,舉球,01,5
2026-01-21,04,發球,01,0
2026-01-21,04,發球,02,0
2026-01-21,04,發球,03,0
2026-01-21,04,發球,04,0
2026-01-21,04,舉球,01,0
2026-01-21,04,舉球,02,0
2026-01-21,04,舉球,03,0
2026-01-21,05,發球,01,5
2026-01-21,05,發球,02,0
2026-01-21,05,發球,03,0
2026-01-21,05,發球,04,2
2026-01-21,06,發球,01,0
2026-01-21,07,發球,01,0
2026-01-21,07,發球,02,0
2026-01-21,07,發球,03,0
2026-01-21,07,發球,04,0
2026-01-21,07,舉球,01,0
2026-01-21,07,舉球,02,0
2026-01-21,07,舉球,03,0
2026-01-21,08,發球,01,0
2026-01-21,08,發球,02,0
2026-01-21,08,發球,03,0
2026-01-21,08,發球,04,0
2026-01-21,08,舉球,01,12
2026-01-21,08,舉球,02,9
2026-01-21,08,舉球,03,9
2026-01-21,09,發球,01,0
2026-01-21,09,發球,02,1
2026-01-21,09,發球,03,0
2026-01-21,09,發球,04,8
2026-01-21,09,舉球,01,10
2026-01-21,09,舉球,02,11
2026-01-21,09,舉球,03,0
2026-01-21,09,舉球,04,1
2026-01-21,10,發球,01,20
2026-01-21,10,發球,02,20
2026-01-21,10,發球,03,20
2026-01-21,10,發球,04,20
2026-01-21,10,舉球,01,28
2026-01-21,10,舉球,02,23
2026-01-21,10,舉球,03,27
2026-01-21,13,舉球,01,0
2026-01-21,13,舉球,02,0
2026-01-21,13,舉球,03,0
2026-01-21,14,發球,01,0
