Video,Date,View,Action,Frame,Time_Sec,Faults
260113_發球_06_01_LF_240.mov,260113,LF,站定準備,261,8.732633,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,279,9.323876,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,295,9.865317,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球位於最低點),307,10.264923,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球離手),309,10.331589,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,311,10.398255,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,蹲下(最低點),319,10.666663,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,起跳(雙腳離地),327,10.933327,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),331,11.066665,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,手肘到前,334,11.166664,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,抬擊球手前1幀,335,11.199997,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,擊球(瞬間),335,11.199999,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,球離手(瞬間),336,11.23333,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,落地(腳著地瞬間),342,11.41467,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,站定準備,635,21.182665,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,686,22.882639,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,744,24.815952,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球位於最低點),805,26.849263,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球離手),807,26.933332,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,817,27.248847,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,蹲下(最低點),853,28.443423,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,起跳(雙腳離地),876,29.20968,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),896,29.888509,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,手肘到前,905,30.19013,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,抬擊球手前1幀,909,30.30556,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,擊球(瞬間),910,30.338892,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,球離手(瞬間),912,30.405558,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,落地(腳著地瞬間),931,31.039762,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,站定準備,1961,65.393968,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,2025,67.505376,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,2107,70.23428,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球位於最低點),2151,71.712753,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,拋球(球離手),2154,71.812751,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,步伐腳跟著地,2166,72.212747,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,蹲下(最低點),2204,73.476905,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,起跳(雙腳離地),2224,74.135482,"nan"
260113_發球_06_01_LF_240.mov,260113,LF,躬身(拉到角度最大時),2240,74.681675,"nan"
